gold_id,latitude,longitude
Go0001177,44.65,-63.6
Go0001178,39.57,2.63
Go0001179,41.38,-8.32
Go0001182,52.939,-73.549
Go0001183,33.245043,126.409526
Go0001187,55.753,37.604
Go0001189,60.39,5.32
Go0001190,44.376,-110.69
Go0001191,63.93,-22.1
Go0001192,43.326,10.498
Go0001193,-35.370329,142.84
Go0001197,42.33,-71.07
Go0001203,25.307,110.263
Go0001205,32.718834,-117.163841
Go0001207,35.91,-79.055
Go0001210,45.640618,9.002209
Go0001212,39.9,116.4
Go0001213,52.52,14.42
Go0001214,52.51,13.4
Go0001221,-27.424,153
Go0001222,37.95,58.38
Go0001223,14.83,-17.23
Go0001224,51.589,4.774
Go0001225,41.177342,-112.50211
Go0001226,35.259,139.629
Go0001227,-11.189722,-79.075833
Go0001228,60.18,24.93
Go0001229,40.01,-83
Go0001232,36.48,-116.5
Go0001234,35.67,138.56
Go0001235,45.64,9
Go0001237,32.73,-117.27
Go0001239,54.470842,9.83457
Go0001240,54.470842,9.83457
Go0001242,27.55,126.93333
Go0001243,35.18,136.906389
Go0001245,36.23333,-33.90167
Go0001248,-6.1425,39.45778
Go0001249,27.816743,-97.074951
Go0001253,20.237556,84.270018
Go0001255,27.834,-97.062
Go0001256,32.78861,-79.96639
Go0001257,32.7,-117.16667
Go0001258,32.49139,34.88611
Go0001259,54.13333,7.86667
Go0001260,35.16667,128.58333
Go0001261,32.81,34.69
Go0001263,36,123
Go0001265,32.530544,-106.723473
Go0001266,39.852013,116.535297
Go0001269,41.51667,-70.68333
Go0001271,44.650749,-124.064441
Go0001273,32.85,-117.25
Go0001274,32.85,-117.25
Go0001277,44.650749,-124.064441
Go0001278,44.650749,-124.064441
Go0001279,63.3,19.48
Go0001280,32.86694,-117.2575
Go0001281,63.51611,19.81583
Go0001282,54.13333,7.86667
Go0001283,73.016667,-148.516667
Go0001286,44.64,-124.05
Go0001287,20,116
Go0001288,-12,-145.41667
Go0001289,27,-111.4
Go0001290,36.84262,-121.74701
Go0001296,38.308333,-123.3
Go0001300,58.94083,11.07944
Go0001301,31.31667,-113.53333
Go0001303,27.716667,-91.25
Go0001304,27.716667,-91.25
Go0001305,12.13333,-103.93333
Go0001306,23.224118,-44.564984
Go0001309,23.75298511,120.9498753
Go0001318,40.9,-120.63
Go0001320,33.94,-117.4
Go0001326,35.23968,139.04623
Go0001329,45.424979,-88.771304
Go0001331,-37.56,143.84
Go0001332,-38.233,145.928
Go0001339,42.982515,-81.253973
Go0001340,44.977482,-93.264351
Go0001341,47.576727,-52.701129
Go0001369,-22.75,-158.13333
Go0001371,37.986853,-119.045711
Go0001373,22.75,-158
Go0001378,34.230511,135.170808
Go0001380,32.789827,130.741667
Go0001389,29.710489,-95.39907
Go0001393,40.714,-74.005
Go0001397,39.6,-72.45
Go0001398,51.5,-0.12
Go0001422,-12.093,-77.046
Go0001424,23.725,90.407
Go0001430,70,158
Go0001431,44.969,-110.72
Go0001434,41.66667,2.8
Go0001435,41.585,-112.0843
Go0001444,41.33,-72.9
Go0001456,33.7532,-84.3901
Go0001469,-12.354729,130.88165
Go0001487,47.482959,-94.879704
Go0001489,17.15,-62.45
Go0001494,40.438423,-80.001933
Go0001497,40.438423,-80.001933
Go0001499,40.438423,-80.001933
Go0001500,40.438423,-80.001933
Go0001501,40.438423,-80.001933
Go0001502,40.438423,-80.001933
Go0001506,40.43,-80
Go0001507,40.438423,-80.001933
Go0001535,33.56,133.54
Go0001541,38.7054,-0.478
Go0001542,44.64,-124.05
Go0001544,42.022864,-93.626792
Go0001546,42.444589,-76.499268
Go0001548,60.169,24.938
Go0001549,12.065107,79.702147
Go0001550,53.71278,8.13611
Go0001579,58.94083,11.07944
Go0001587,48.4567,-128.7083
Go0001590,41.66667,2.8
Go0001600,33,-122
Go0001606,37.763385,-122.458081
Go0001612,40.756054,-73.986951
Go0001649,-28.409279,30.909119
Go0001650,-28.530554,30.895824
Go0001651,-28.409,30.909
Go0001676,12.801944,-103.934444
Go0001684,-8.8158,13.211231
Go0001685,-0.3,-91.65
Go0001692,-14.5994,-28.6731
Go0001693,55.525,16.61917
Go0001695,31.666667,-64.166667
Go0001696,31.666667,-64.166667
Go0001697,31.666667,-64.166667
Go0001698,23.684774,37.485352
Go0001702,44.85,-0.6
Go0001753,44.6111,-110.4412
Go0001760,24.95306,-80.46583
Go0001762,37.87,-122.27
Go0001765,40.0011,-89.709674
Go0001766,31.666667,-64.166667
Go0001773,44.376262,-110.690383
Go0001774,9.83416,104.284722
Go0001775,36.783786,-96.661148
Go0001776,32,-117
Go0001777,58.94083,11.07944
Go0001779,48.4,-122.6
Go0001781,-65.25,-64.26667
Go0001793,58.261661,11.4396
Go0001797,42.35766,-71.06059
Go0001798,53.480713,-2.234376
Go0001799,53.4127,-2.9777
Go0001803,-69,75
Go0001806,22.549506,120.61999
Go0001809,37.147034,24.518901
Go0001811,-32.533333,-57
Go0001812,-25.47,-50.66
Go0001813,-15.776021,-47.763321
Go0001823,41.526357,-70.668322
Go0001833,35.447507,139.642345
Go0001834,41.66667,2.8
Go0001837,50.25,-4.21667
Go0001840,24.14,-110.31
Go0001849,5.2689,100.4849
Go0001859,53,-2
Go0001861,-21.25,-48.33
Go0001862,24.893379,67.028061
Go0001894,30.325278,30.407222
Go0001897,34.299366,-79.876714
Go0001903,66.780217,-18.480835
Go0001905,28.083612,-111.408692
Go0001908,23.366667,-44.933333
Go0001915,36.01,-84.269
Go0001917,37.728543,-89.215708
Go0001918,-1.935,36.253
Go0001919,9.833,-104.3
Go0001922,40.491816,-74.322087
Go0001924,48.85,2.35
Go0001926,25.066127,-77.339025
Go0001927,40.964972,-5.663047
Go0001929,-5.05,11.783
Go0001930,18.088189,-67.147095
Go0001932,45.64,9.002
Go0001933,43.1,-89.4
Go0001934,35.658503,139.752173
Go0001936,34.052187,-118.243425
Go0001937,41.875156,-87.667984
Go0001944,40.756054,-73.986951
Go0001945,40.756054,-73.986951
Go0001949,40.756054,-73.986951
Go0001951,44.376262,-110.690383
Go0001952,32.23086,-110.951783
Go0001967,51.455718,-2.588654
Go0001972,-37.800453,144.942169
Go0001973,53.553407,9.992196
Go0001974,43.604363,1.442951
Go0001982,32.838433,-79.941044
Go0001994,-35.309,142
Go0001995,51.77,5.53
Go0001999,51.5,-0.12
Go0002007,44.376262,-110.690383
Go0002008,8.003056,-142.502222
Go0002018,40.787143,-77.858309
Go0002019,58.94083,11.07944
Go0002032,50.024682,11.762694
Go0002036,51.458946,-2.598424
Go0002039,40.75,-73.98
Go0002043,40.75,-73.98
Go0002045,49.597,17.251
Go0002046,50.875875,-1.632772
Go0002049,51.482,7.211
Go0002050,56.1601,10.211
Go0002060,40.43,-80
Go0002061,40.43,-80
Go0002062,40.43,-80
Go0002063,40.43,-80
Go0002064,40.43,-80
Go0002065,40.43,-80
Go0002066,40.43,-80
Go0002067,40.43,-80
Go0002070,48.837496,2.338894
Go0002073,10.75918,106.662498
Go0002078,52.245212,0.403362
Go0002087,37.765221,-25.30756
Go0002088,44.636707,-110.438919
Go0002091,17.972949,-67.047164
Go0002092,33.75,-67.5
Go0002093,41.058085,-72.8656045
Go0002094,29.46667,34.91667
Go0002096,0,-140
Go0002097,41.666667,2.8
Go0002100,34.726186,-76.647763
Go0002101,36.548,-82.561
Go0002102,44.376262,-110.690383
Go0002103,39.75,-107.62
Go0002105,45.77,-111.021591
Go0002106,44.453591,-110.358796
Go0002107,44.376262,-110.690383
Go0002108,44.376262,-110.690383
Go0002110,40.840097,14.251636
Go0002111,37.73,-25.3
Go0002112,37.916192,139.036413
Go0002121,52.11,6.05
Go0002122,51.416,79.483
Go0002127,32.85,-117.25
