,package_id,centroid_latitude,centroid_longitude
1980,ess-dive-6269f157183d70c-20240819T204731276,43.1232,-116.7745
1981,ess-dive-6269f157183d70c-20240819T204731276,37.2101,-80.4451
1982,ess-dive-6269f157183d70c-20240819T204731276,37.2914,-75.9308
1983,ess-dive-6269f157183d70c-20240819T204731276,60.5209,-144.8375
1984,ess-dive-6269f157183d70c-20240819T204731276,52.4198,-1.7044
1985,ess-dive-6269f157183d70c-20240819T204731276,52.8007,-2.3047
1986,ess-dive-6269f157183d70c-20240819T204731276,18.2759,-65.7853
1987,ess-dive-6269f157183d70c-20240819T204731276,45.2477,7.8043
1988,ess-dive-6269f157183d70c-20240819T204731276,41.7207,-111.8864
1989,ess-dive-6269f157183d70c-20240819T204731276,41.9504,-111.5805
1990,ess-dive-6269f157183d70c-20240819T204731276,39.2387,-84.7124
1991,ess-dive-6269f157183d70c-20240819T204731276,38.9224,-106.9514
1992,ess-dive-9be051bcebbb9e6-20240819T204345623,46.23,-120.0
1993,ess-dive-9be051bcebbb9e6-20240819T204345623,46.53,-120.47
1994,ess-dive-9be051bcebbb9e6-20240819T204345623,46.26,-119.47
1995,ess-dive-9be051bcebbb9e6-20240819T204345623,46.99,-121.1
1996,ess-dive-9be051bcebbb9e6-20240819T204345623,46.98,-121.17
1997,ess-dive-9be051bcebbb9e6-20240819T204345623,46.72,-120.7
1998,ess-dive-9be051bcebbb9e6-20240819T204345623,46.73,-120.71
1999,ess-dive-7dd475198731ccc-20240819T204232324,33.18049479,35.61556661
2000,ess-dive-55df3dafa77d7e2-20240819T204029727,46.37299,-119.272
2001,ess-dive-44f252f38d00cd1-20240819T203904462,52.476416,13.6257102
2002,ess-dive-6efcd2d381c7626-20240819T203808170,46.73861111,-121.9180556
2003,ess-dive-ebff53121684912-20240819T203554789,31.334597,-81.479282
2004,ess-dive-846ed2a45b7d169-20240819T203516786,46.253,-119.4722
2005,ess-dive-aa21927c642e21d-20240819T203430885,44.206532,-122.256641
2006,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.4206,-121.087
2007,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.4199,-121.0879
2008,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.3635,-121.1069
2009,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.3944,-121.1017
2010,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.396,-121.0969
2011,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.2582,-120.9041
2012,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.2551,-120.8789
2013,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.1903,-121.0156
2014,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.1858,-121.0438
2015,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.1859,-120.9188
2016,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.3543,-121.1084
2017,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.2625,-120.8971
2018,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.1685,-120.8344
2019,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.2602,-121.1769
2020,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.1242,-120.738
2021,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.1235,-120.7382
2022,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.0822,-120.7334
2023,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.0952,-120.5482
2024,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.206,-120.481
2025,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.2356,-120.4192
2026,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.3146,-120.1992
2027,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.0282,-120.6119
2028,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.029,-120.6365
2029,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.0167,-120.6497
2030,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.7243,-120.8134
2031,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.6314,-120.5218
2032,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.7299,-120.8036
2033,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.6635,-120.805
2034,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.6207,-120.627
2035,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.0418,-120.5732
2036,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.8556,-120.4837
2037,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.8557,-120.4848
2038,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.9682,-120.6912
2039,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.9949,-120.5904
2040,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,46.9878,-120.5711
2041,ess-dive-bf46fe8d9d1ca1d-20240819T203230709,47.0176,-120.5175
