id,lat_lon
nmdc:bsm-11-3r4g4610,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-11-fbm8fa50,"{'has_raw_value': '40.178 -81.073', 'latitude': 40.178, 'longitude': -81.073, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-2fw5j754,"{'has_raw_value': '46.37379502 -119.2722385', 'latitude': 46.37379502, 'longitude': -119.2722385, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-peafgc08,"{'has_raw_value': '46.37228508 -119.2716818', 'latitude': 46.37228508, 'longitude': -119.2716818, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-kem2v355,"{'has_raw_value': '46.37229149 -119.2718121', 'latitude': 46.37229149, 'longitude': -119.2718121, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-hvpzqc38,"{'has_raw_value': '46.37228508 -119.2716818', 'latitude': 46.37228508, 'longitude': -119.2716818, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-drp3nj25,"{'has_raw_value': '46.37228508 -119.2716818', 'latitude': 46.37228508, 'longitude': -119.2716818, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-ay11wa90,"{'has_raw_value': '46.37379502 -119.2722385', 'latitude': 46.37379502, 'longitude': -119.2722385, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-2yga6857,"{'has_raw_value': '46.37379502 -119.2722385', 'latitude': 46.37379502, 'longitude': -119.2722385, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-yjp2dx65,"{'has_raw_value': '46.37380143 -119.2723688', 'latitude': 46.37380143, 'longitude': -119.2723688, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-as680w10,"{'has_raw_value': '46.37229149 -119.2718121', 'latitude': 46.37229149, 'longitude': -119.2718121, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-hxr5ks11,"{'has_raw_value': '46.37380273 -119.2723038', 'latitude': 46.37380273, 'longitude': -119.2723038, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-5bfhqy53,"{'has_raw_value': '46.37380273 -119.2723038', 'latitude': 46.37380273, 'longitude': -119.2723038, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-7qxjvr77,"{'has_raw_value': '46.37229149 -119.2718121', 'latitude': 46.37229149, 'longitude': -119.2718121, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-xvf06c81,"{'has_raw_value': '46.37380273 -119.2723038', 'latitude': 46.37380273, 'longitude': -119.2723038, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-fs4zf767,"{'has_raw_value': '46.37229149 -119.2718121', 'latitude': 46.37229149, 'longitude': -119.2718121, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-khnf9f29,"{'has_raw_value': '46.37380143 -119.2723688', 'latitude': 46.37380143, 'longitude': -119.2723688, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-3dt9xs73,"{'has_raw_value': '46.37379502 -119.2722385', 'latitude': 46.37379502, 'longitude': -119.2722385, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-937ebx72,"{'has_raw_value': '46.37380273 -119.2723038', 'latitude': 46.37380273, 'longitude': -119.2723038, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-9qwsvm77,"{'has_raw_value': '46.37229149 -119.2718121', 'latitude': 46.37229149, 'longitude': -119.2718121, 'type': 'nmdc:GeolocationValue'}"
nmdc:bsm-13-0jw5n594,"{'has_raw_value': '46.37380143 -119.2723688', 'latitude': 46.37380143, 'longitude': -119.2723688, 'type': 'nmdc:GeolocationValue'}"
