biosample_id,latitude,longitude
nmdc:bsm-11-vk5d5609,18.321,-65.8172
nmdc:bsm-11-wgm2gc35,18.321,-65.8172
nmdc:bsm-11-kzmqz337,18.321,-65.8172
nmdc:bsm-11-95x0ph47,18.321,-65.8172
nmdc:bsm-11-9n514080,18.321,-65.8172
nmdc:bsm-11-mq7ehd26,18.321,-65.8172
nmdc:bsm-11-x02hcv79,18.321,-65.8172
nmdc:bsm-11-a57zjt20,18.321,-65.8172
nmdc:bsm-11-ce456m46,18.321,-65.8172
nmdc:bsm-11-xrhyqf47,18.321,-65.8172
nmdc:bsm-11-pn4k7a71,18.321,-65.8172
nmdc:bsm-11-f6tpj848,18.321,-65.8172
nmdc:bsm-11-6tgze178,18.321,-65.8172
nmdc:bsm-11-h131y406,18.321,-65.8172
nmdc:bsm-11-xytt5x43,18.321,-65.8172
nmdc:bsm-11-ce0k8x59,18.321,-65.8172
nmdc:bsm-11-7xmfgy37,18.321,-65.8172
nmdc:bsm-11-e6zvzn58,18.321,-65.8172
nmdc:bsm-11-z6mynx16,18.321,-65.8172
nmdc:bsm-11-1ze4mb29,18.321,-65.8172
nmdc:bsm-11-6a20rt08,18.321,-65.8172
nmdc:bsm-11-m1vpz356,18.321,-65.8172
nmdc:bsm-11-0dvkcy09,18.321,-65.8172
nmdc:bsm-11-92cr2g31,18.321,-65.8172
nmdc:bsm-11-4jp9g708,18.321,-65.8172
nmdc:bsm-11-p6mjjm87,18.321,-65.8172
nmdc:bsm-11-9qr9ap05,18.321,-65.8172
nmdc:bsm-11-d3pceb26,18.321,-65.8172
nmdc:bsm-11-6mrqvx97,18.321,-65.8172
nmdc:bsm-11-4zj9gc28,18.321,-65.8172
nmdc:bsm-11-xk49fy68,18.321,-65.8172
nmdc:bsm-11-epes9h39,18.321,-65.8172
nmdc:bsm-11-j6hv1q66,18.321,-65.8172
nmdc:bsm-11-88kssc71,18.321,-65.8172
nmdc:bsm-11-9fphtz92,18.321,-65.8172
nmdc:bsm-11-2jcr6626,18.321,-65.8172
nmdc:bsm-11-dmwkrw33,18.321,-65.8172
nmdc:bsm-11-qv5c7702,18.321,-65.8172
nmdc:bsm-11-v826p438,18.321,-65.8172
nmdc:bsm-11-qpp1j108,18.321,-65.8172
nmdc:bsm-11-f8bv7d15,18.321,-65.8172
nmdc:bsm-11-bpf71y34,18.321,-65.8172
nmdc:bsm-11-ywtc8b82,38.917216053,-106.9559947
nmdc:bsm-11-xcyvst62,38.917216053,-106.955994698
nmdc:bsm-11-1srsh991,38.917216053,-106.955994698
nmdc:bsm-11-2nqe9j19,38.920399525,-106.948286972
nmdc:bsm-11-39j0y956,38.920399525,-106.948286972
nmdc:bsm-11-m959ky58,38.920405996,-106.948286622
nmdc:bsm-11-jvtvhn02,38.920405996,-106.948286622
nmdc:bsm-11-vdqjvg77,38.920405996,-106.948286622
nmdc:bsm-11-fdjmge85,38.920399525,-106.948286972
nmdc:bsm-11-cnc9ww90,38.920281155,-106.948918934
nmdc:bsm-11-vdn3kn48,38.920281155,-106.948918934
nmdc:bsm-11-gdwqby92,38.92045766,-106.948452785
nmdc:bsm-11-ntfp9891,38.92045766,-106.948452785
nmdc:bsm-11-tffhv104,38.92045766,-106.948452785
nmdc:bsm-11-a2fm5q53,38.92045766,-106.948452785
nmdc:bsm-11-hr55b403,38.920281155,-106.948918934
nmdc:bsm-11-qpwvgx11,38.92045766,-106.948452785
nmdc:bsm-11-tq2k2z77,38.920576363,-106.948748019
nmdc:bsm-11-j7ha4a31,38.920576363,-106.948748019
nmdc:bsm-11-hbdmpd66,38.920576363,-106.948748019
nmdc:bsm-11-t3rg3r96,38.92045766,-106.948452785
nmdc:bsm-11-h36vdc50,38.920576363,-106.948748019
nmdc:bsm-11-sdk1ek59,38.920576363,-106.948748019
nmdc:bsm-11-an1f1v40,38.920297724,-106.948759261
nmdc:bsm-11-0pq46m48,38.920297724,-106.948759261
nmdc:bsm-11-hkftnp97,38.920297724,-106.948759261
nmdc:bsm-11-djp7e211,38.920576363,-106.948748019
nmdc:bsm-11-4sw8dr23,38.920307005,-106.948394713
nmdc:bsm-11-3d7gwr49,38.920307005,-106.948394713
nmdc:bsm-11-xarr2j67,38.920405922,-106.9484972
nmdc:bsm-11-tn2emc28,38.920405922,-106.9484972
nmdc:bsm-11-afgbs159,38.920307005,-106.948394713
nmdc:bsm-11-z97z1r63,38.920405922,-106.9484972
nmdc:bsm-11-y742vs93,38.920405856,-106.948682649
nmdc:bsm-11-kj72y166,38.920442553,-106.948817965
nmdc:bsm-11-c2b84794,38.920442553,-106.948817965
nmdc:bsm-11-4tpf7456,38.920405856,-106.948682649
nmdc:bsm-11-mcp72s80,38.920405856,-106.948682649
nmdc:bsm-11-qa4vm962,38.920294564,-106.94875775
nmdc:bsm-11-y693ve58,38.920442553,-106.948817965
nmdc:bsm-11-q71pns38,38.920294564,-106.94875775
nmdc:bsm-11-29d9a657,38.920487572,-106.948785516
nmdc:bsm-11-2h2j6s31,38.920294564,-106.94875775
nmdc:bsm-11-q42vcp15,38.920487572,-106.948785516
nmdc:bsm-11-07spy989,38.920406451,-106.948476151
nmdc:bsm-13-mrzb2q96,46.372,-119.272
nmdc:bsm-13-4aw9ra87,46.372,-119.272
nmdc:bsm-13-z9wten89,46.372,-119.272
nmdc:bsm-13-wktc3357,46.372,-119.272
